trial,CID,SID,GID,TID
ES1,7624,7,2465,6860
ES2,7624,7,2465,6861
ES3,7624,7,2465,6862
ES5,7624,7,2465,6864
SA3,7624,7,2465,6822
SA5,7624,7,2465,8284
SA6,7624,7,2465,9269
ES1,7401,9,3881,6860
ES2,7401,9,3881,6861
ES3,7401,9,3881,6862
ES5,7691,50,3895,6864
ES6,7691,50,3895,6865
ES7,7691,50,3895,6866
ES8,7691,50,3895,6867
ES10,7691,50,3895,6869
ES11,7691,50,3895,2982
ES12,7691,50,3895,3034
ES13,7691,50,3895,2838
ES14,7691,50,3895,5431
ES16,7691,50,3895,6806
ES17,7691,50,3895,7510
ES18,7691,50,3895,8281
ES3,7027,5,4248,6862
ES4,7027,5,4248,6863
ES6,7027,5,4248,6865
ES1,56343,13,4570,6860
ES2,56343,13,4570,6861
ES4,56343,13,4570,6863
ES2,7691,43,12867,6861
ES4,7691,43,12867,6863
ES5,7691,43,12867,6864
ES4,7691,16,13098,6863
ES5,7691,16,13098,6864
ES6,7691,16,13098,6865
ES7,7691,16,13098,6866
ES1,7691,18,13119,6860
ES4,7691,18,13119,6863
ES6,7691,18,13119,6865
ES8,7691,18,13119,6867
ES12,7691,18,13119,3034
ES1,7842,4,13302,6860
ES3,7842,4,13302,6862
ES4,7842,4,13302,6863
ES4,7741,7,13396,6863
ES7,7741,7,13396,6866
ES10,7741,7,13396,6869
ES11,7741,7,13396,2982
SA3,7741,7,13396,6822
ES4,7691,65,13421,6863
ES5,7691,65,13421,6864
ES7,7691,65,13421,6866
ES8,7691,65,13421,6867
ES4,7691,47,13469,6863
ES5,7691,47,13469,6864
ES3,7857,8,13569,6862
ES4,7857,8,13569,6863
ES2,7577,4,13728,6861
ES3,7577,4,13728,6862
ES5,7817,6,13954,6864
ES7,7817,6,13954,6866
ES5,7795,6,14103,6864
ES6,7795,6,14103,6865
ES7,7795,6,14103,6866
SA1,7795,6,14103,5428
SA2,7795,6,14103,6437
SA6,7795,6,14103,9269
ES16,2256,3,15200,6806
ES17,2256,3,15200,7510
ES10,8195,5,16004,6869
ES11,8195,5,16004,2982
ES12,8195,5,16004,3034
ES22,8195,5,16004,13539
ES24,8195,5,16004,16449
ES26,8195,5,16004,40007
ES10,7866,493,16069,6869
ES11,7866,493,16069,2982
ES9,7896,254,16122,6868
ES10,7896,254,16122,6869
ES11,7896,254,16122,2982
ES12,7896,254,16122,3034
ES14,7896,254,16122,5431
ES16,7896,254,16122,6806
ES17,7896,254,16122,7510
ES18,7896,254,16122,8281
ES20,7896,254,16122,10553
ES3,7799,11,16262,6862
ES4,7799,11,16262,6863
ES9,7739,290,19630,6868
ES11,7739,290,19630,2982
ES12,7739,290,19630,3034
SA7,7151,12,24744,10556
SA8,7151,12,24744,12010
SA9,7151,12,24744,13892
SA10,7151,12,24744,14993
SA12,7151,12,24744,17310
SA13,7151,12,24744,18235
SA14,7151,12,24744,18644
SA15,7151,12,24744,18998
SA16,7151,12,24744,19373
SA17,7151,12,24744,19658
SA18,7151,12,24744,19373
ES5,7799,18,24825,6864
ES6,7799,18,24825,6865
ES5,7090,5,27001,6864
ES10,7090,5,27001,6869
ES11,7090,5,27001,2982
ES12,7090,5,27001,3034
ES13,7090,5,27001,2838
ES10,7507,14,30977,6869
ES11,7507,14,30977,2982
SA12,8945,11,31096,17310
SA13,8945,11,31096,18235
SA16,8945,11,31096,19373
SA18,8945,11,31096,19373
ES2,7479,9,39359,6861
ES4,7479,9,39359,6863
ES10,7822,9,41233,6869
ES11,7822,9,41233,2982
ES10,7507,8,41243,6869
ES11,7507,8,41243,2982
ES10,7737,8,41249,6869
ES11,7737,8,41249,2982
ES11,7666,15,41263,2982
ES13,7666,15,41263,2838
ES15,7666,15,41263,6435
ES8,7896,10,41471,6867
ES9,7896,10,41471,6868
ES3,7776,11,41542,6862
ES13,7776,11,41542,2838
ES11,7847,11,41761,2982
ES13,7847,11,41761,2838
ES12,7507,12,41804,3034
ES13,7507,12,41804,2838
ES12,8890,34,41948,3034
ES14,8890,34,41948,5431
SA2,8890,34,41948,6437
ES10,7890,6,42012,6869
ES11,7890,6,42012,2982
ES8,7655,8,42076,6867
ES9,7655,8,42076,6868
ES10,7655,8,42076,6869
ES11,7655,8,42076,2982
ES12,7847,9,42174,3034
SA2,7847,9,42174,6437
ES9,8946,6,42274,6868
ES13,8946,6,42274,2838
ES14,8946,6,42274,5431
SA1,8946,6,42274,5428
SA2,8946,6,42274,6437
SA3,8946,6,42274,6822
SA4,8946,6,42274,7509
ES10,8232,8,42644,6869
ES11,8232,8,42644,2982
ES13,7896,33,62221,2838
ES14,7896,33,62221,5431
ES10,8238,4,62235,6869
ES11,8238,4,62235,2982
ES11,7896,35,62256,2982
ES13,7896,35,62256,2838
ES14,8109,206,62526,5431
ES15,8109,206,62526,6435
ES17,8109,206,62526,7510
ES18,8109,206,62526,8281
ES4,8122,4,62576,6863
ES7,8122,4,62576,6866
ES8,8109,14,64873,6867
ES16,8109,14,64873,6806
ES14,22781,26,65315,5431
ES16,22781,26,65315,6806
ES19,22781,26,65315,9267
SA5,7506,46,66363,8284
SA7,7506,46,66363,10556
SA2,8182,19,66369,6437
SA4,8182,19,66369,7509
ES12,21650,7,67055,3034
ES13,21650,7,67055,2838
ES3,7414,7,67929,6862
ES4,7414,7,67929,6863
ES12,9368,26,68052,3034
ES13,9368,26,68052,2838
ES14,21658,13,68460,5431
SA4,21658,13,68460,7509
ES12,7666,11,70761,3034
ES13,7666,11,70761,2838
ES12,53328,5,76718,3034
ES15,53328,5,76718,6435
ES16,53328,5,76718,6806
ES12,8890,25,77128,3034
ES13,8890,25,77128,2838
ES17,8890,25,77128,7510
ES13,9329,13,77534,2838
ES15,9329,13,77534,6435
ES16,9329,13,77534,6806
ES19,9329,13,77534,9267
ES13,8889,48,77587,2838
ES14,8889,48,77587,5431
SA1,21616,26,82480,5428
SA4,21616,26,82480,7509
ES16,9292,8,82710,6806
SA3,9292,8,82710,6822
ES15,8686,21,85587,6435
ES18,8686,21,85587,8281
SA4,8686,21,85587,7509
ES15,8686,1030,85599,6435
ES16,8686,1030,85599,6806
ES18,8686,1030,85599,8281
ES14,8703,41,85637,5431
ES16,8703,41,85637,6806
ES17,8703,41,85637,7510
ES14,21243,47,85685,5431
ES15,21243,47,85685,6435
SA3,9370,5,85861,6822
SA4,9370,5,85861,7509
SA6,9370,5,85861,9269
ES15,20570,827,85888,6435
ES16,20570,827,85888,6806
ES17,20570,827,85888,7510
SA3,19652,474,86005,6822
SA5,19652,474,86005,8284
ES10,8176,7,86185,6869
ES11,8176,7,86185,2982
ES9,7866,24,86230,6868
ES10,7866,24,86230,6869
ES10,53292,49,86355,6869
ES11,53292,49,86355,2982
ES10,8100,11,86437,6869
ES11,8100,11,86437,2982
ES13,8120,7,86490,2838
ES14,8120,7,86490,5431
SA1,8703,14,88522,5428
SA2,8703,14,88522,6437
SA4,8703,14,88522,7509
SA2,21425,36,88623,6437
SA3,21425,36,88623,6822
SA2,20581,85,88639,6437
SA3,20581,85,88639,6822
ES12,21653,7,89242,3034
ES13,21653,7,89242,2838
ES3,7691,166,92207,6862
ES4,7691,166,92207,6863
ES5,7691,166,92207,6864
ES7,7691,166,92207,6866
ES8,8125,5,96413,6867
ES9,8125,5,96413,6868
ES15,8562,411,96501,6435
SA4,8562,411,96501,7509
ES13,7896,27,96638,2838
ES14,7896,27,96638,5431
SA3,95758,12,109278,6822
SA4,95758,12,109278,7509
SA5,95758,12,109278,8284
SA6,95758,12,109278,9269
SA7,95758,12,109278,10556
SA8,95758,12,109278,12010
SA9,95758,12,109278,13892
SA10,95758,12,109278,14993
SA13,95758,12,109278,18235
SA14,95758,12,109278,18644
SA15,95758,12,109278,18998
SA16,95758,12,109278,19373
SA17,95758,12,109278,19658
SA18,95758,12,109278,19373
SA19,95758,12,109278,120235
SA20,95758,12,109278,120529
SA21,95758,12,109278,42581
SA3,17361,378,144638,6822
SA6,17361,378,144638,9269
SA7,17361,378,144638,10556
SA3,20646,504,144826,6822
SA6,20646,504,144826,9269
SA3,8626,44,144862,6822
SA4,8626,44,144862,7509
ES17,111987,12,167864,7510
ES18,111987,12,167864,8281
ES18,20894,93,168928,8281
ES19,20894,93,168928,9267
ES20,20894,93,168928,10553
ES17,38339,167,168979,7510
SA4,38339,167,168979,7509
SA1,7847,32,170040,5428
SA4,7847,32,170040,7509
SA3,21642,33,170077,6822
SA4,21642,33,170077,7509
SA8,24762,30,197187,12010
SA10,24762,30,197187,14993
SA13,24762,30,197187,18235
SA14,24762,30,197187,18644
SA15,24762,30,197187,18998
SA16,24762,30,197187,19373
SA17,24762,30,197187,19658
SA18,24762,30,197187,19373
SA21,24762,30,197187,42581
ES16,65950,13,214589,6806
ES19,65950,13,214589,9267
ES20,65950,13,214589,10553
ES20,65968,22,217385,10553
SA7,65968,22,217385,10556
ES17,162515,1,217743,7510
ES18,162515,1,217743,8281
ES19,162515,1,217743,9267
ES22,162515,1,217743,13539
ES24,162515,1,217743,16449
ES18,7896,281,217748,8281
ES19,7896,281,217748,9267
ES22,7896,281,217748,13539
SA1,21264,52,222360,5428
SA4,21264,52,222360,7509
SA3,17361,372,222371,6822
SA4,17361,372,222371,7509
SA3,8642,219,222478,6822
SA4,8642,219,222478,7509
SA4,54408,65,222492,7509
SA5,54408,65,222492,8284
SA5,9329,40,268825,8284
SA6,9329,40,268825,9269
SA7,9329,40,268825,10556
SA8,9329,40,268825,12010
SA5,20894,502,268836,8284
SA7,20894,502,268836,10556
SA4,8890,213,268922,7509
SA5,8890,213,268922,8284
SA6,8890,213,268922,9269
SA7,8890,213,268922,10556
SA5,21264,56,270518,8284
SA6,21264,56,270518,9269
SA3,8182,34,271590,6822
SA5,8182,34,271590,8284
ES17,65211,170,292703,7510
ES19,65211,170,292703,9267
ES19,65211,167,292717,9267
ES20,65211,167,292717,10553
ES18,13918,160,294670,8281
ES19,13918,160,294670,9267
ES17,25787,46,294745,7510
ES18,25787,46,294745,8281
ES19,65216,182,295091,9267
ES20,65216,182,295091,10553
ES17,63222,171,295146,7510
ES19,63222,171,295146,9267
ES20,63222,171,295146,10553
ES21,63222,171,295146,12008
ES17,25640,6,295190,7510
ES22,25640,6,295190,13539
ES19,274782,4,295788,9267
ES22,274782,4,295788,13539
SA4,9329,41,297260,7509
SA6,9329,41,297260,9269
ES1,61665,1,304660,6860
ES2,61665,1,304660,6861
ES3,61665,1,304660,6862
ES4,61665,1,304660,6863
ES5,61665,1,304660,6864
ES6,61665,1,304660,6865
ES7,61665,1,304660,6866
ES8,61665,1,304660,6867
ES9,61665,1,304660,6868
ES10,61665,1,304660,6869
ES11,61665,1,304660,2982
ES12,61665,1,304660,3034
ES13,61665,1,304660,2838
ES14,61665,1,304660,5431
ES15,61665,1,304660,6435
ES16,61665,1,304660,6806
ES17,61665,1,304660,7510
ES18,61665,1,304660,8281
ES19,61665,1,304660,9267
ES20,61665,1,304660,10553
ES21,61665,1,304660,12008
ES22,61665,1,304660,13539
ES23,61665,1,304660,14991
ES24,61665,1,304660,16449
ES25,61665,1,304660,17309
ES26,61665,1,304660,40007
ES27,61665,1,304660,40205
ES28,61665,1,304660,40420
ES29,61665,1,304660,40590
ES30,61665,1,304660,40807
ES31,61665,1,304660,41098
ES32,61665,1,304660,41481
ES33,61665,1,304660,41928
ES34,61665,1,304660,42576
ES35,61665,1,304660,43890
ES36,61665,1,304660,44617
ES37,61665,1,304660,45328
ES38,61665,1,304660,46171
SA1,61665,1,304660,5428
SA2,61665,1,304660,6437
SA3,61665,1,304660,6822
SA4,61665,1,304660,7509
SA5,61665,1,304660,8284
SA6,61665,1,304660,9269
SA7,61665,1,304660,10556
SA8,61665,1,304660,12010
SA9,61665,1,304660,13892
SA10,61665,1,304660,14993
SA11,61665,1,304660,16447
SA12,61665,1,304660,17310
SA13,61665,1,304660,18235
SA14,61665,1,304660,18644
SA15,61665,1,304660,18998
SA16,61665,1,304660,19373
SA17,61665,1,304660,19658
SA18,61665,1,304660,19373
SA19,61665,1,304660,120235
SA20,61665,1,304660,120529
SA21,61665,1,304660,42581
SA22,61665,1,304660,43891
SA23,61665,1,304660,44618
SA24,61665,1,304660,45329
SA25,61665,1,304660,46172
ES19,274818,1,320849,9267
ES22,274818,1,320849,13539
ES19,67613,34,321822,9267
ES20,67613,34,321822,10553
ES19,69587,25,321833,9267
ES20,69587,25,321833,10553
ES19,122462,4,321840,9267
ES20,122462,4,321840,10553
ES19,40887,128,323172,9267
ES20,40887,128,323172,10553
SA5,19715,736,324377,8284
SA7,19715,736,324377,10556
SA5,19715,753,324452,8284
SA7,19715,753,324452,10556
SA5,22957,5,324847,8284
SA7,22957,5,324847,10556
SA6,75517,246,325190,9269
SA7,75517,246,325190,10556
ES20,160593,23,341985,10553
ES21,160593,23,341985,12008
ES22,160593,23,341985,13539
ES19,31155,686,342090,9267
ES20,31155,686,342090,10553
ES21,31155,686,342090,12008
ES19,58955,156,342202,9267
ES20,58955,156,342202,10553
ES21,58955,156,342202,12008
ES19,59245,64,342218,9267
ES21,59245,64,342218,12008
ES19,64990,210,342253,9267
ES20,64990,210,342253,10553
ES21,64990,210,342253,12008
ES19,65178,248,342263,9267
ES21,65178,248,342263,12008
ES18,65211,176,342294,8281
ES19,65211,176,342294,9267
ES18,65217,164,342325,8281
ES19,65217,164,342325,9267
ES20,65217,164,342325,10553
ES21,65217,164,342325,12008
SA5,54005,198,346047,8284
SA6,54005,198,346047,9269
SA7,54005,198,346047,10556
SA8,54005,198,346047,12010
SA6,8648,10,346095,9269
SA7,8648,10,346095,10556
SA6,14185,136,346189,9269
SA7,14185,136,346189,10556
SA8,14185,136,346189,12010
SA9,14185,136,346189,13892
SA5,14284,125,346200,8284
SA6,14284,125,346200,9269
SA7,14284,125,346200,10556
SA5,15866,174,346247,8284
SA6,15866,174,346247,9269
SA6,48666,52,346413,9269
SA8,48666,52,346413,12010
SA6,54005,193,346421,9269
SA7,54005,193,346421,10556
SA8,54005,193,346421,12010
SA9,54005,193,346421,13892
SA10,54005,193,346421,14993
ES20,160593,17,358060,10553
ES21,160593,17,358060,12008
SA7,8548,482,358192,10556
SA8,8548,482,358192,12010
ES19,122456,3,358886,9267
ES20,122456,3,358886,10553
ES20,61614,92,368747,10553
SA7,61614,92,368747,10556
ES19,59245,63,369564,9267
ES20,59245,63,369564,10553
ES21,59245,63,369564,12008
ES18,26944,30,369673,8281
ES19,26944,30,369673,9267
ES20,26944,30,369673,10553
ES19,65211,187,369682,9267
ES20,65211,187,369682,10553
ES20,122467,76,376718,10553
ES21,122467,76,376718,12008
ES21,334609,1,376804,12008
ES22,334609,1,376804,13539
ES18,14417,226,377191,8281
ES19,14417,226,377191,9267
ES19,122459,4,390604,9267
ES20,122459,4,390604,10553
ES20,251774,1,391994,10553
ES21,251774,1,391994,12008
ES22,251774,1,391994,13539
ES18,164857,1,392036,8281
ES23,164857,1,392036,14991
ES19,122462,3,393205,9267
ES20,122462,3,393205,10553
ES21,122462,3,393205,12008
ES1,7027,16,412444,6860
ES2,7027,16,412444,6861
ES2,7414,71,414940,6861
ES4,7414,71,414940,6863
ES1,7580,7,418271,6860
ES2,7580,7,418271,6861
ES12,7666,23,419150,3034
ES13,7666,23,419150,2838
ES12,7666,21,419152,3034
ES13,7666,21,419152,2838
ES3,7673,65,419525,6862
ES4,7673,65,419525,6863
ES6,7691,258,421064,6865
ES7,7691,258,421064,6866
ES10,7707,6,421330,6869
ES11,7707,6,421330,2982
ES2,7714,16,421340,6861
ES3,7714,16,421340,6862
ES4,7776,31,422181,6863
ES5,7776,31,422181,6864
ES3,7877,29,424689,6862
ES4,7877,29,424689,6863
ES9,8086,6,429168,6868
ES10,8086,6,429168,6869
ES10,8105,13,430179,6869
ES11,8105,13,430179,2982
ES12,8105,24,430390,3034
ES13,8105,24,430390,2838
ES12,8193,40,433924,3034
ES13,8193,40,433924,2838
SA8,8198,10,434116,12010
SA9,8198,10,434116,13892
ES14,8626,465,447647,5431
ES15,8626,465,447647,6435
ES16,8626,465,447647,6806
ES17,8626,465,447647,7510
SA4,8626,465,447647,7509
SA6,8626,465,447647,9269
SA7,8626,465,447647,10556
SA8,8626,465,447647,12010
SA11,8626,465,447647,16447
ES18,8890,1518,458835,8281
ES23,8890,1518,458835,14991
ES3,9068,2264,464211,6862
ES4,9068,2264,464211,6863
SA7,20756,77,639377,10556
SA8,20756,77,639377,12010
SA1,24762,29,684967,5428
SA3,24762,29,684967,6822
SA4,24762,29,684967,7509
SA5,24762,29,684967,8284
SA6,24762,29,684967,9269
SA9,24762,29,684967,13892
SA12,24762,29,684967,17310
ES18,31046,471,741166,8281
SA5,31046,471,741166,8284
SA7,38340,171,770263,10556
SA8,38340,171,770263,12010
ES20,43379,332,835884,10553
ES21,43379,332,835884,12008
SA7,48604,45,855485,10556
SA8,48604,45,855485,12010
SA9,48666,133,860216,13892
SA10,48666,133,860216,14993
SA8,48666,124,860243,12010
SA9,48666,124,860243,13892
SA5,52645,26,902339,8284
SA7,52645,26,902339,10556
SA6,54002,309,909857,9269
SA8,54002,309,909857,12010
ES20,59406,134,934019,10553
ES21,59406,134,934019,12008
ES20,61368,190,984151,10553
SA7,61368,190,984151,10556
ES19,64853,397,1047493,9267
ES20,64853,397,1047493,10553
ES19,69933,111,1101307,9267
ES20,69933,111,1101307,10553
SA9,72726,531,1118888,13892
SA10,72726,531,1118888,14993
ES19,73509,48,1127595,9267
ES20,73509,48,1127595,10553
ES21,73509,48,1127595,12008
SA7,84245,114,1227344,10556
SA8,84245,114,1227344,12010
ES22,90670,90,1290414,13539
ES23,90670,90,1290414,14991
ES22,91288,76,1302304,13539
ES23,91288,76,1302304,14991
ES22,92624,332,1342417,13539
ES23,92624,332,1342417,14991
ES22,98843,61,1390242,13539
ES23,98843,61,1390242,14991
ES22,99189,99,1393230,13539
ES23,99189,99,1393230,14991
ES24,101189,110,1399978,16449
ES26,101189,110,1399978,40007
ES21,103028,28,1410845,12008
ES22,103028,28,1410845,13539
ES4,111681,7,1477994,6863
ES5,111681,7,1477994,6864
ES18,113388,5,1491661,8281
ES21,113388,5,1491661,12008
ES22,113388,5,1491661,13539
ES23,113388,5,1491661,14991
ES24,113388,5,1491661,16449
ES26,113388,5,1491661,40007
SA5,113708,26,1493157,8284
SA7,113708,26,1493157,10556
ES23,118879,206,1507248,14991
ES24,118879,206,1507248,16449
ES22,120854,182,1541045,13539
ES24,120854,182,1541045,16449
ES22,120854,180,1541049,13539
ES23,120854,180,1541049,14991
ES19,122461,6,1563730,9267
ES20,122461,6,1563730,10553
ES23,133428,104,1635496,14991
ES24,133428,104,1635496,16449
ES24,134029,124,1649008,16449
ES25,134029,124,1649008,17309
ES23,135029,254,1671946,14991
ES24,135029,254,1671946,16449
SA5,140731,33,1706327,8284
SA7,140731,33,1706327,10556
SA8,160341,67,1815633,12010
SA9,160341,67,1815633,13892
ES18,162538,3,1831374,8281
ES20,162538,3,1831374,10553
SA5,7589,86,1987914,8284
SA7,7589,86,1987914,10556
SA8,7589,86,1987914,12010
SA12,7589,86,1987914,17310
SA13,7589,86,1987914,18235
SA14,7589,86,1987914,18644
SA15,7589,86,1987914,18998
SA21,7589,86,1987914,42581
SA5,206668,6,1995922,8284
SA7,206668,6,1995922,10556
ES22,207934,221,2011449,13539
ES23,207934,221,2011449,14991
ES3,254741,5,2099196,6862
ES4,254741,5,2099196,6863
ES25,281478,19,2201664,17309
ES26,281478,19,2201664,40007
SA9,289279,51,2243654,13892
SA10,289279,51,2243654,14993
ES18,8890,1549,2430154,8281
ES21,8890,1549,2430154,12008
ES22,8890,1549,2430154,13539
ES23,8890,1549,2430154,14991
ES26,8890,1549,2430154,40007
ES27,8890,1549,2430154,40205
ES28,8890,1549,2430154,40420
ES29,8890,1549,2430154,40590
ES30,8890,1549,2430154,40807
ES31,8890,1549,2430154,41098
ES32,8890,1549,2430154,41481
ES33,8890,1549,2430154,41928
ES34,8890,1549,2430154,42576
SA8,8890,1549,2430154,12010
SA11,8890,1549,2430154,16447
SA12,8890,1549,2430154,17310
SA13,8890,1549,2430154,18235
SA14,8890,1549,2430154,18644
SA15,8890,1549,2430154,18998
ES22,287525,32,2448313,13539
ES23,287525,32,2448313,14991
SA9,287525,32,2448313,13892
SA10,287525,32,2448313,14993
ES23,260140,83,2448314,14991
SA9,260140,83,2448314,13892
SA10,260140,83,2448314,14993
ES22,260140,84,2448315,13539
SA9,260140,84,2448315,13892
ES25,20589,58,2450184,17309
ES26,20589,58,2450184,40007
ES22,114906,205,2464236,13539
ES23,114906,205,2464236,14991
ES24,206941,157,2484301,16449
ES25,206941,157,2484301,17309
ES26,206941,157,2484301,40007
ES25,210539,110,2487807,17309
ES26,210539,110,2487807,40007
ES23,114906,319,2588632,14991
ES24,114906,319,2588632,16449
ES22,384555,1,2668073,13539
ES23,384555,1,2668073,14991
ES24,384555,1,2668073,16449
ES25,384555,1,2668073,17309
ES26,384555,1,2668073,40007
SA10,287530,49,2673154,14993
SA11,287530,49,2673154,16447
SA11,120770,946,3574435,16447
SA12,120770,946,3574435,17310
SA10,158452,134,3616959,14993
SA11,158452,134,3616959,16447
ES24,160278,68,3617481,16449
ES26,160278,68,3617481,40007
ES27,160278,68,3617481,40205
ES28,160278,68,3617481,40420
SA10,209899,73,3630905,14993
SA11,209899,73,3630905,16447
SA10,209917,85,3630914,14993
SA11,209917,85,3630914,16447
SA10,313200,45,3686333,14993
SA11,313200,45,3686333,16447
ES27,417450,1,3820458,40205
ES28,417450,1,3820458,40420
ES24,320356,163,3822784,16449
ES29,320356,163,3822784,40590
ES30,320356,163,3822784,40807
ES31,320356,163,3822784,41098
ES32,320356,163,3822784,41481
ES33,320356,163,3822784,41928
ES34,320356,163,3822784,42576
ES35,320356,163,3822784,43890
ES36,320356,163,3822784,44617
SA11,320356,163,3822784,16447
SA11,306489,212,3822952,16447
SA12,306489,212,3822952,17310
ES27,425470,1,3822974,40205
ES28,425470,1,3822974,40420
ES25,304373,72,3827748,17309
ES26,304373,72,3827748,40007
ES25,301830,48,3827757,17309
ES26,301830,48,3827757,40007
ES25,279807,53,3827768,17309
SA11,279807,53,3827768,16447
ES25,257058,29,3830032,17309
ES26,257058,29,3830032,40007
ES25,206924,125,3830034,17309
ES26,206924,125,3830034,40007
ES25,302322,59,3830068,17309
ES26,302322,59,3830068,40007
ES25,207985,132,3830198,17309
ES26,207985,132,3830198,40007
